Code,Name,Code_1,Type,Location,Realm,Inhabitant,Mapped,Crosslist,Comments,English,Westron,Quenya,Sindarin,Khuzdul,Rohirric,Other
TO002,Aldburg,TO002,Town,The Folde,Rohan,"Éomer, Rohirrim",x,RH001,,"""Old Fortress""",,,,,Aldburg,
TO006,Annúminas,TO006,City,"Eriador, shores of Lake Nenuial",Abandoned,"Dúnedain of Arnor (originally); Abandoned",x,,Had been in ruins for 2000 years by the War of the Ring,"""west tower""",,,Annúminas,,,
TO007,Archet,TO007,Town,"Central Eriador, near Bree",Bree-land,"Men, Hobbits",x,,,"Archet; ""by the woods""",,,,,,Arcet (Celtic)
TO011,Bree,TO011,Town,East of The Shire and south of Fornost Erain,Bree-land,"Men, Hobbits",x,,,"""hill""",,,,,,Bree (Celtic)
TO012,Breredon,TO012,Village,"In Buckland, near Haysend",The Shire,Hobbits,x,,,Briar Hill,,,,,,Braerdun (Old Hobbitish)
TO014,Bucklebury,TO014,Village,"Buckland, about a mile east of the banks of the River Brandywine",The Shire,Hobbits,x,,,"Bucklebury; Buck-burg/Buck-town",,,,,,
TO015,Budgeford,TO015,Town,"Bridgefields district, along a tributary of the Brandywine called the Water",The Shire,Hobbits,x,SH064,,"Budgeford; Budge Ford",,,,,,
TO016,Bywater,TO016,Village,"The Westfarthing, north of the East Road",The Shire,Hobbits,x,SH065,,Bywater,,,,,,
TO017,Calembel,TO017,Town,Lamedon,Gondor,Men,x,GD009,Deserted during the War of the Ring,"""Greenham""",,,Calembel,,,
TO018,Caras Galadhon,TO018,City/Fortress,The Naith,Lothlórien,"Galadhrim Elves, Galadriel, Celeborn",x,,,City of the Trees,,,Caras Galadhon,,,
TO019,Carn Dûm,TO019,Fortress,,Angmar,"Orcs, Men of Darkness, Wolves, Trolls",x,FT007,,,,,,,,
TO021,Combe,TO021,Town,"Central Eriador, near Bree",Bree-land,"Men, Hobbits",x,,,"""hollow/valley""",,,,,,Combe (Celtic)
TO022,Crickhollow,TO022,Village?,"Buckland, northeast of Brandy Hall",The Shire,Hobbits,x,SH066,,"Crickhollow; ""low place by the hill""",,,,,,Crycholh (Old Hobbitish)
TO024,Dale,TO024,City state,"Northern Wilderland, between the southwest and southeast arms of Erebor",Kingdom of Dale,Northmen,x,,,"Dale/""valley""",,,,,,
TO025,Deephallow,TO025,Village,On the banks of the Brandywine River on the eastern border of the Shire,The Shire,Hobbits,x,SH067,,"Deephallow; ""deep haugh""",,,,,,Deophealh (Old Hobbitish)
TO026,Dol Amroth,TO026,City/Castle,Belfalas,Gondor,Men (Númenórean Faithful),x,"GD026; HI016",,"""hill upclimber""",,,Dol Amroth,,,
TO027,Dwaling,TO027,Village,Eastfarthing,The Shire,Hobbits,x,SH068,,"Dwaling; ""descendants of Dwale""",,,,,,
TO028,Edhellond,TO028,Harbor,"Southern Gondor, confluence of the Ringló and Morthond rivers",Gondor,"Sindar, Nandor, Gondorians",x,"GD032; HA003",Abandoned T.A. 1981 after all its elves sailed West,"""Elf Haven""",,,Edhellond,,,
TO029,Edoras,TO029,Capital city,White Mountains,Rohan,Rohirrim,x,RH014,,"""the courts""",,,,,Edoras,
TO031,Elvenking's Halls,TO031,City,Northeastern Mirkwood,Mirkwood,Silvan Elves,x,,,Elvenking's Halls,,,,,,
TO034,Forlond,TO034,Harbor,"Northern Lindon, on the shore of the Gulf of Lune",Lindon,Elves,x,HA006,,"""Northhaven""",,,Forlond,,,
TO035,Fornost Erain,TO035,City/Fortress,North Downs,Arthedain,Dúnedain,x,FT012,Abandoned T.A. 1974,"""Northern Fortress (of the) Kings""; Deadman's Dike (colloquial)",Norbury of the Kings,,Fornost Erain,,,
TO036,Framsburg,TO036,Capital city,Northwestern Wilderland at the source of the Anduin,Lands of the Éothéod,"Éothéod (originally); Abandoned",x,,Abandoned circa T.A. 2510,,,,,,,
TO037,Frogmorton,TO037,Village,"Eastfarthing, along the East Road",The Shire,Hobbits,x,SH069,,"Frogmorton; ""marshy land town/village""",,,,,,
TO038,Gamwich,TO038,Village,,The Shire,Hobbits,x,SH070,,"Gamwich; ""game-village""",Galabas (Hobbitish dialect),,,,,
TO039,Goblin-town,TO039,City,Central Misty Mountains east of Rivendell,Misty Mountains,Goblins/Orcs,x,,,Goblin-town,,,,,,
TO042,Greenholm,TO042,Town or village,Far Downs,The Shire,Hobbits,x,SH072,,"Greenholm; ""green island""",,,,,,
TO043,Grey Havens,TO043,Seaport,"Western Eriador, central Lindon",Lindon,Elves,x,HA007,,Grey Havens,,,Mithlond,,,
TO043,Grey Havens,TO043,Seaport,"Western Eriador, central Lindon",Lindon,Elves,x,HA007,,Grey Havens,,,Mithlond,,,
