Name,Type,Inhabitant,English,Westron,Quenya,Sindarin,Khuzdul,Rohirric,Other,SHAPE_Leng,SHAPE_Area,layer,Name_1,x,y
Field of Celebrant,Field,,"Field of Celebrant; Field of ""Silverlode""",,,[field of] Celebrant,,,,372765.67851900001,2598167417.48000001907,,,3766178.1527090999,2449267.1819826374
Firienfeld,Flat upland,Rohirrim,Dunharrow,,,,,Firienfeld,,4367.54197597000,1376384.30046999990,,,3578612.9560418171,2120419.9683589037
Plateau of Gorgoroth,Plain,"Sauron, Orcs, Men allied to Sauron","Plateau of ""horror/dread""",,,[plateau of] Gorgoroth,,,,5635612.07689999975,36405149984.09999847412,,,4229918.7741912259,1915462.3759045796
Plateau of Gorgoroth,Plain,"Sauron, Orcs, Men allied to Sauron","Plateau of ""horror/dread""",,,[plateau of] Gorgoroth,,,,5635612.07689999975,36405149984.09999847412,,,4236480.9416071326,1948278.4103697988
Plateau of Gorgoroth,Plain,"Sauron, Orcs, Men allied to Sauron","Plateau of ""horror/dread""",,,[plateau of] Gorgoroth,,,,5635612.07689999975,36405149984.09999847412,,,4094888.3836598578,2056016.9876060353
Plateau of Gorgoroth,Plain,"Sauron, Orcs, Men allied to Sauron","Plateau of ""horror/dread""",,,[plateau of] Gorgoroth,,,,5635612.07689999975,36405149984.09999847412,,,4291555.6258440586,2058811.1329386556
Plateau of Gorgoroth,Plain,"Sauron, Orcs, Men allied to Sauron","Plateau of ""horror/dread""",,,[plateau of] Gorgoroth,,,,5635612.07689999975,36405149984.09999847412,,,4109478.8370475858,2094104.6225718665
Plateau of Gorgoroth,Plain,"Sauron, Orcs, Men allied to Sauron","Plateau of ""horror/dread""",,,[plateau of] Gorgoroth,,,,5635612.07689999975,36405149984.09999847412,,,4214539.2210552385,2014772.7336422205
Gladden Fields,Marsh,Servants of Sauron searching for the One Ring,Gladden Fields,,,Loeg Ningloron,,,,153041.05763500000,705004008.24800002575,,,3788710.8174551842,2721505.6824261053
Desert of Lostladen,Desert,,Desert of Lostladen,,,,,,,889989.44601700001,9841671815.61000061035,,,4321146.0195345981,1619637.6948918533
Parth Galen,Field,Uninhabited,"""green sward""",,,Parth Galen,,,,8788.04050645000,4557356.83916999958,,,3895273.6865020231,2182919.3702455987
Party Field,Field,"Hobbits; Bilbo",Party Field,,,,,,,802.63522264500,39900.91755790000,,,3071596.1303037107,2731187.7337025763
Pelennor Fields,Field,Gondorians,"""fenced/encircled land"" Fields",,,Pelennor [fields],,,,93881.68515730000,401270920.23299998045,,,3963755.5558794034,1961638.1485363613
Derndingle,Hollow,Ents,,,,,,,,8189.14514228000,4831726.01322999969,,,3549532.8619612595,2317844.6860556044
Field of Cormallen,Field,Men,"Field of ""golden circle""",,,"Cormallen; Cormalthen (Gondor Sindarin)",,,,28291.51171570000,25419298.91160000116,,,3985011.6340091159,2038791.7887247480
Desolation of the Morannon,Dead land,Uninhabited,Desolation of the Morannon,,,,,,,81821.69516680000,334630695.28700000048,,,4052608.9368779799,2170665.1170884352
Bonfire Glade,Glade,,Bonfire Glade,,,,,,,109614.57644300000,78178271.72529999912,,,3133833.6797069246,2701587.7238957258
Dagorlad,Plain,Uninhabited,"""battle plain""",,,Dagorlad,,,,724552.91677000001,5996526389.40000057220,,,4129839.3492470630,2255787.9474190637
The Wold,Upland plain,Deserted,The Wold,,,,,,,721234.29268900002,13741540958.79999923706,,,3784636.1663798536,2332986.3775365409
Tolfalas,,Uninhabited,,,,Tol Falas,,,,203923.87667299999,1798751182.91000008583,,,3690536.9685993823,1723520.3757717719
Tol Brandir,,Uninhabited,"""Isle of the great Steeples""",Tindrock (archaic Westron),,Tol Brandir,,,,10295.27225300000,7573870.26150000002,,,3896078.6556087551,2188904.8662481098
Girdley Island,,Uninhabited?,"Gridley Island; ""girdle-island""",,,,,,Gyrdlieg (Old Hobbitish),6907.52201564000,2126740.38783999998,,,3135558.9452546639,2731320.7527081990
Carrock,,Near the homes of Beorn and Radagast,,,,,,,,4049.68863762000,1184776.22176999995,,,3804559.9518996342,2820751.7830438218
Cair Andros,,Gondorians,"""Ship of Long Foam""",,,Cair Andros,,,,34580.61942310000,59508900.12259999663,,,3978985.6319385935,2027386.6319592013
