Name,Type,Inhabitant,English,Westron,Quenya,Sindarin,Khuzdul,Rohirric,Other,SHAPE_Leng,SHAPE_Area,x,y
Field of Celebrant,Field,,"Field of Celebrant; Field of ""Silverlode""",,,[field of] Celebrant,,,,372765.6785,2598167417,48.68683101,6.712480815
Firienfeld,Flat upland,Rohirrim,Dunharrow,,,,,Firienfeld,,4367.541976,1376384.3,45.53091236,4.431308817
Plateau of Gorgoroth,Plain,"Sauron, Orcs, Men allied to Sauron","Plateau of ""horror/dread""",,,[plateau of] Gorgoroth,,,,5635612.077,36405149984,43.7365242,12.9347964
Plateau of Gorgoroth,Plain,"Sauron, Orcs, Men allied to Sauron","Plateau of ""horror/dread""",,,[plateau of] Gorgoroth,,,,5635612.077,36405149984,44.03754363,13.03566536
Plateau of Gorgoroth,Plain,"Sauron, Orcs, Men allied to Sauron","Plateau of ""horror/dread""",,,[plateau of] Gorgoroth,,,,5635612.077,36405149984,45.07344907,11.24189373
Plateau of Gorgoroth,Plain,"Sauron, Orcs, Men allied to Sauron","Plateau of ""horror/dread""",,,[plateau of] Gorgoroth,,,,5635612.077,36405149984,45.03695174,13.81471992
Plateau of Gorgoroth,Plain,"Sauron, Orcs, Men allied to Sauron","Plateau of ""horror/dread""",,,[plateau of] Gorgoroth,,,,5635612.077,36405149984,45.42422214,11.44253795
Plateau of Gorgoroth,Plain,"Sauron, Orcs, Men allied to Sauron","Plateau of ""horror/dread""",,,[plateau of] Gorgoroth,,,,5635612.077,36405149984,44.66098603,12.78645297
Gladden Fields,Marsh,Servants of Sauron searching for the One Ring,Gladden Fields,,,Loeg Ningloron,,,,153041.0576,705004008.2,51.22775383,6.866698145
Desert of Lostladen,Desert,,Desert of Lostladen,,,,,,,889989.446,9841671816,40.97122198,13.89830424
Parth Galen,Field,Uninhabited,"""green sward""",,,Parth Galen,,,,8788.040506,4557356.839,46.24938772,8.597865024
Party Field,Field,Hobbits; Bilbo,Party Field,,,,,,,802.6352226,39900.91756,50.55932949,-3.645554868
Pelennor Fields,Field,Gondorians,"""fenced/encircled land"" Fields",,,Pelennor [fields],,,,93881.68516,401270920.2,44.2051655,9.533397016
Derndingle,Hollow,Ents,,,,,,,,8189.145142,4831726.013,47.33766034,3.831365199
Field of Cormallen,Field,Men,"Field of ""golden circle""",,,Cormallen; Cormalthen (Gondor Sindarin),,,,28291.51172,25419298.91,44.92094203,9.804411888
Desolation of the Morannon,Dead land,Uninhabited,Desolation of the Morannon,,,,,,,81821.69517,334630695.3,46.14248462,10.70286068
Bonfire Glade,Glade,,Bonfire Glade,,,,,,,109614.5764,78178271.73,50.39076903,-2.67546586
Dagorlad,Plain,Uninhabited,"""battle plain""",,,Dagorlad,,,,724552.9168,5996526389,46.92127453,11.7615014
The Wold,Upland plain,Deserted,The Wold,,,,,,,721234.2927,13741540959,47.61325411,7.03721864
Tolfalas,,Uninhabited,,,,Tol Falas,,,,203923.8767,1798751183,41.93200267,6.178095125
Tol Brandir,,Uninhabited,"""Isle of the great Steeples""",Tindrock (archaic Westron),,Tol Brandir,,,,10295.27225,7573870.262,46.30511275,8.607129464
Girdley Island,,Uninhabited?,"Gridley Island; ""girdle-island""",,,,,,Gyrdlieg (Old Hobbitish),6907.522016,2126740.388,50.66623833,-2.724907581
Carrock,,Near the homes of Beorn and Radagast,,,,,,,,4049.688638,1184776.222,52.15669893,7.042603544
Cair Andros,,Gondorians,"""Ship of Long Foam""",,,Cair Andros,,,,34580.61942,59508900.12,44.81503423,9.726328425
Bywater Pool,Pond,,Bywater Pool,,,,,,,17399.25376,21533031.14,50.54962316,-3.454820885
Lake Evendim,Lake,,Lake Evendim,,,"Nenuial (""Lake of Twilight"")",,,,176520.561,961411810.6,51.84246144,-3.778574528
Long Lake,Lake,,Long Lake,,,,,,,94930.52732,210131132.7,52.39760424,11.26580756
Mirrormere,Lake,,Mirrormere,,,"Nen Cenedril (""Lake Looking-glass"")","Kheled-zâram (""glass lake/pool"")",,,3529.013427,830010.8606,49.46751957,5.349373207
Nen Hithoel,Lake,,"""Mist-cool Water""",,,Nen Hithoel,,,,94564.0335,604123002,46.44370378,8.650329743
Sea of Rhûn,Inland Sea,,Sea of Rhûn,,,"Rhûn (""East"")",,,,960854.3702,22436757396,48.58399826,17.53897688
Sea of Núrnen,Inland Sea,,"Sea of Núrnen; Lake Núrnen; ""sad-water"" lake/sea",,,[Sea/Lake] Núrnen,,,,644327.4231,14297796891,42.68863,14.88136144
Amon Hen,Hills,Gondorians,"""Hill of the Eye""; Hill of Sight",,,Amon Hen,,,,17174.30263,16460333.27,46.2608212,8.567695854
Amon Lhaw,Hills,,"""Hill of Hearing""",,,Amon Lhaw,,,,25295.65728,28664574.11,46.30070334,8.722876437
Dol Guldur,Hills,"Sauron, Khamûl, forces of Sauron","""Hill of Sorcery""; the dungeons of the Necromancer",,,"Amon Lanc (""the Naked Hill""; ""Bald Hill""); Dol Guldur (""Hill of Sorcery"")",,,,24073.70571,35151954.22,49.49450771,8.128672588
Buck Hill,Hills,Hobbits,Buck Hill,,,,,,,21391.99995,32058307.79,50.47626495,-2.618851214
Cerin Amroth,Hills,,"""Amroth's Mound""",,,Cerin Amroth,,,,7911.544291,4703016.515,49.34271466,6.323764102
Death Down,Hills,,Death Down,,,,,,,868.1583904,53940.40108,46.20814425,3.234539965
Dol Amroth,Hills,Men (Númenórean Faithful),"""hill upclimber""",,,Dol Amroth,,,,45904.78438,78039725.26,42.98603128,4.443267834
Dol Baran,Hills,,"""Shaven hill""",,,Dol Baran,,,,7074.594652,3058019.078,46.8505814,3.268607887
Emyn Arnen,Hills,House of Húrin (Gondorians),"""the hills of Arnen""",,,Emyn [Arnen],,,,84749.28502,347700778.9,43.92713136,9.739158071
Emyn Muil,Hills,Uninhabited,"""the drear hills""",,,Emyn Muil,,,,448728.7574,6215051959,46.64182115,8.898660927
Erech,Hills,Abandoned/Dead Men,Hill of Erech,,,,,,Erech (pre-Númenórean Mannish),118636.6454,457205136.1,44.82890801,4.738754927
Hill of Guard,Hills,Gondorians,Hill of Guard,,,Amon Tirith,,,,14877.8806,15812799.78,44.12756403,9.435808632
Weathertop,Hills,Uninhabited,Weathertop,,,Amon Sûl,,,,14994.67201,7886250.013,50.96544337,-0.403038931
Hobbiton Hill,Hills,"Bilbo, Frodo, Hobbits",Hobbiton Hill; The Hill,,,,,,,14845.87893,14908631.73,50.59630266,-3.320552058
Tarnost,Hills,Uninhabited,,,,,,,Tarnost (Noldorin),2386953.945,6920006902,42.69119883,5.1551008
Tarnost,Hills,Uninhabited,,,,,,,Tarnost (Noldorin),2386953.945,6920006902,42.57632463,5.471169107
Tarnost,Hills,Uninhabited,,,,,,,Tarnost (Noldorin),2386953.945,6920006902,43.0210804,5.17459254
Tarnost,Hills,Uninhabited,,,,,,,Tarnost (Noldorin),2386953.945,6920006902,43.02870847,5.080291677
Tarnost,Hills,Uninhabited,,,,,,,Tarnost (Noldorin),2386953.945,6920006902,43.04330869,5.151124479
