Name,Type,Inhabitant,English,Westron,Quenya,Sindarin,Khuzdul,Rohirric,Other,SHAPE_Leng,SHAPE_Area,layer,Name_1,xcoord,ycoord
Field of Celebrant,Field,,"Field of Celebrant; Field of ""Silverlode""",,,[field of] Celebrant,,,,372765.6785,2598167417,,,3766178.15,2449267.18
Firienfeld,Flat upland,Rohirrim,Dunharrow,,,,,Firienfeld,,4367.541976,1376384.3,,,3578612.96,2120419.97
Plateau of Gorgoroth,Plain,"Sauron, Orcs, Men allied to Sauron","Plateau of ""horror/dread""",,,[plateau of] Gorgoroth,,,,5635612.077,36405149984,,,4229918.77,1915462.38
Plateau of Gorgoroth,Plain,"Sauron, Orcs, Men allied to Sauron","Plateau of ""horror/dread""",,,[plateau of] Gorgoroth,,,,5635612.077,36405149984,,,4236480.94,1948278.41
Plateau of Gorgoroth,Plain,"Sauron, Orcs, Men allied to Sauron","Plateau of ""horror/dread""",,,[plateau of] Gorgoroth,,,,5635612.077,36405149984,,,4094888.38,2056016.99
Plateau of Gorgoroth,Plain,"Sauron, Orcs, Men allied to Sauron","Plateau of ""horror/dread""",,,[plateau of] Gorgoroth,,,,5635612.077,36405149984,,,4291555.63,2058811.13
Plateau of Gorgoroth,Plain,"Sauron, Orcs, Men allied to Sauron","Plateau of ""horror/dread""",,,[plateau of] Gorgoroth,,,,5635612.077,36405149984,,,4109478.84,2094104.62
Plateau of Gorgoroth,Plain,"Sauron, Orcs, Men allied to Sauron","Plateau of ""horror/dread""",,,[plateau of] Gorgoroth,,,,5635612.077,36405149984,,,4214539.22,2014772.73
Gladden Fields,Marsh,Servants of Sauron searching for the One Ring,Gladden Fields,,,Loeg Ningloron,,,,153041.0576,705004008.2,,,3788710.82,2721505.68
Desert of Lostladen,Desert,,Desert of Lostladen,,,,,,,889989.446,9841671816,,,4321146.02,1619637.69
Parth Galen,Field,Uninhabited,"""green sward""",,,Parth Galen,,,,8788.040506,4557356.839,,,3895273.69,2182919.37
Party Field,Field,Hobbits; Bilbo,Party Field,,,,,,,802.6352226,39900.91756,,,3071596.13,2731187.73
Pelennor Fields,Field,Gondorians,"""fenced/encircled land"" Fields",,,Pelennor [fields],,,,93881.68516,401270920.2,,,3963755.56,1961638.15
Derndingle,Hollow,Ents,,,,,,,,8189.145142,4831726.013,,,3549532.86,2317844.69
Field of Cormallen,Field,Men,"Field of ""golden circle""",,,Cormallen; Cormalthen (Gondor Sindarin),,,,28291.51172,25419298.91,,,3985011.63,2038791.79
Desolation of the Morannon,Dead land,Uninhabited,Desolation of the Morannon,,,,,,,81821.69517,334630695.3,,,4052608.94,2170665.12
Bonfire Glade,Glade,,Bonfire Glade,,,,,,,109614.5764,78178271.73,,,3133833.68,2701587.72
