Code,Name,Code_1,Realm,Mapped,Crosslist,Comments,English,Westron,Quenya,Sindarin,Khuzdul,Rohirric,Other,Id,Type,Inhabitant,F12,F13,Owner,Maker,F29,Occupant,Created,layer,path
BR001,Brandywine Bridge,BR001,The Shire,x,SH009,,"Brandywine Bridge; Bridge of Stonebows",,,i Varanduiniant,,,,,,,,,,,,,,Bridges,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Bridges.shp
BR003,Bridge of Khazad-dûm,BR003,Khazad-dûm,x,,,"Bridge of Khazad-dûm; Durin's Bridge",,,,,,,,,,,,,,,,,Bridges,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Bridges.shp
BR004,Bridge of Nimrodel,BR004,Lothlórien,x,,"Bridge destroyed long before the War of the Ring, but the Fellowship was able to ford the river",Bridge of Nimrodel,,,,,,,,,,,,,,,,,Bridges,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Bridges.shp
BR005,Bridge of Tharbad,BR005,Arnor and Gondor,x,,"In ruins when Boromir crossed it on the way to Rivendell; hazardous",Bridge of Tharbad,,,,,,,,,,,,,,,,,Bridges,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Bridges.shp
BR006,Ethring,BR006,Gondor,x,GD038,,"""across [the Ringló river]""",,,Ethring,,,,,,,,,,,,,,Bridges,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Bridges.shp
BR008,Last Bridge,BR008,Arnor,x,,,Last Bridge,,,,,,,,,,,,,,,,,Bridges,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Bridges.shp
BU030,Bag End,BU030,The Shire,x,SH002,,Bag End,"Laban-neg; Labin-nec",,,,,,"0",Building,"Bilbo, Frodo, Hobbits",,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU029,White Towers,BU029,Lindon,x,,Includes Elostirion (BU015) along with two other towers,White Towers,,,,,,,"0",Tower,Elves,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU001,All-Welcome Inn,BU001,The Shire,x,SH001,,All-Welcome Inn,,,,,,,"0",Inn,Hobbits,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU015,Elostirion,BU015,Arnor,x,,,,,,Elostirion,,,,"0",Tower,Elves,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
