,Code,Name,Code_1,Type,Realm,Inhabitant,Mapped,Crosslist,Comments,English,Westron,Quenya,Sindarin,Khuzdul,Rohirric,Other,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,SHAPE_Leng,SHAPE_Area,F15,Range,F30,Status,layer,path,River,Outflow,Tributary,Id,Name_1,Owner,F12,F13,Maker,Occupant,Created,geometry
0,FI009,Field of Celebrant,FI009,Field,Rhovanion,,x,,,"Field of Celebrant; Field of ""Silverlode""",,,[field of] Celebrant,,,,,,,,,,,,,,,,,,372765.6785,2598167417,,,,,,,,,,,,,,,,,,POINT (3766178.1527091004 2449267.1819826374)
1,FI011,Firienfeld,FI011,Flat upland,Rohan,Rohirrim,x,,,Dunharrow,,,,,Firienfeld,,,,,,,,,,,,,,,,4367.541976,1376384.3,,,,,,,,,,,,,,,,,,POINT (3578612.956041817 2120419.9683589037)
2,FI025,Plateau of Gorgoroth,FI025,Plain,Mordor,"Sauron, Orcs, Men allied to Sauron",x,MO021,,"Plateau of ""horror/dread""",,,[plateau of] Gorgoroth,,,,,,,,,,,,,,,,,,5635612.077,36405149984,,,,,,,,,,,,,,,,,,POINT (4229918.774191226 1915462.3759045796)
3,FI025,Plateau of Gorgoroth,FI025,Plain,Mordor,"Sauron, Orcs, Men allied to Sauron",x,MO021,,"Plateau of ""horror/dread""",,,[plateau of] Gorgoroth,,,,,,,,,,,,,,,,,,5635612.077,36405149984,,,,,,,,,,,,,,,,,,POINT (4236480.941607133 1948278.4103697988)
4,FI025,Plateau of Gorgoroth,FI025,Plain,Mordor,"Sauron, Orcs, Men allied to Sauron",x,MO021,,"Plateau of ""horror/dread""",,,[plateau of] Gorgoroth,,,,,,,,,,,,,,,,,,5635612.077,36405149984,,,,,,,,,,,,,,,,,,POINT (4094888.383659858 2056016.987606035)
5,FI025,Plateau of Gorgoroth,FI025,Plain,Mordor,"Sauron, Orcs, Men allied to Sauron",x,MO021,,"Plateau of ""horror/dread""",,,[plateau of] Gorgoroth,,,,,,,,,,,,,,,,,,5635612.077,36405149984,,,,,,,,,,,,,,,,,,POINT (4291555.625844059 2058811.1329386558)
6,FI025,Plateau of Gorgoroth,FI025,Plain,Mordor,"Sauron, Orcs, Men allied to Sauron",x,MO021,,"Plateau of ""horror/dread""",,,[plateau of] Gorgoroth,,,,,,,,,,,,,,,,,,5635612.077,36405149984,,,,,,,,,,,,,,,,,,POINT (4109478.8370475853 2094104.6225718663)
7,FI025,Plateau of Gorgoroth,FI025,Plain,Mordor,"Sauron, Orcs, Men allied to Sauron",x,MO021,,"Plateau of ""horror/dread""",,,[plateau of] Gorgoroth,,,,,,,,,,,,,,,,,,5635612.077,36405149984,,,,,,,,,,,,,,,,,,POINT (4214539.2210552385 2014772.7336422205)
8,FI012,Gladden Fields,FI012,Marsh,Rhovanion,Servants of Sauron searching for the One Ring,x,SW006,,Gladden Fields,,,Loeg Ningloron,,,,,,,,,,,,,,,,,,153041.0576,705004008.2,,,,,,,,,,,,,,,,,,POINT (3788710.8174551837 2721505.6824261053)
9,FI017,Desert of Lostladen,FI017,Desert,Mordor,,x,,,Desert of Lostladen,,,,,,,,,,,,,,,,,,,,,889989.446,9841671816,,,,,,,,,,,,,,,,,,POINT (4321146.019534598 1619637.6948918533)
10,FI021,Parth Galen,FI021,Field,Gondor,Uninhabited,x,,,"""green sward""",,,Parth Galen,,,,,,,,,,,,,,,,,,8788.040506,4557356.839,,,,,,,,,,,,,,,,,,POINT (3895273.686502023 2182919.3702455987)
11,FI022,Party Field,FI022,Field,The Shire,Hobbits; Bilbo,x,SH039,,Party Field,,,,,,,,,,,,,,,,,,,,,802.6352226,39900.91756,,,,,,,,,,,,,,,,,,POINT (3071596.1303037107 2731187.7337025763)
12,FI024,Pelennor Fields,FI024,Field,Gondor,Gondorians,x,GD077,,"""fenced/encircled land"" Fields",,,Pelennor [fields],,,,,,,,,,,,,,,,,,93881.68516,401270920.2,,,,,,,,,,,,,,,,,,POINT (3963755.5558794034 1961638.1485363613)
13,FI005,Derndingle,FI005,Hollow,Fangorn Forest,Ents,x,,Site of Entmoot,,,,,,,,,,,,,,,,,,,,,,8189.145142,4831726.013,,,,,,,,,,,,,,,,,,POINT (3549532.8619612595 2317844.6860556044)
14,FI010,Field of Cormallen,FI010,Field,Gondor,Men,x,GD039,,"Field of ""golden circle""",,,Cormallen; Cormalthen (Gondor Sindarin),,,,,,,,,,,,,,,,,,28291.51172,25419298.91,,,,,,,,,,,,,,,,,,POINT (3985011.634009116 2038791.7887247482)
15,FI006,Desolation of the Morannon,FI006,Dead land,Mordor Adjacent Lands,Uninhabited,x,MO008,,Desolation of the Morannon,,,,,,,,,,,,,,,,,,,,,81821.69517,334630695.3,,,,,,,,,,,,,,,,,,POINT (4052608.93687798 2170665.117088435)
16,FI003,Bonfire Glade,FI003,Glade,The Shire,,x,SH007,,Bonfire Glade,,,,,,,,,,,,,,,,,,,,,109614.5764,78178271.73,,,,,,,,,,,,,,,,,,POINT (3133833.6797069246 2701587.723895726)
17,FI004,Dagorlad,FI004,Plain,Mordor Adjacent Lands,Uninhabited,x,,,"""battle plain""",,,Dagorlad,,,,,,,,,,,,,,,,,,724552.9168,5996526389,,,,,,,,,,,,,,,,,,POINT (4129839.3492470635 2255787.9474190637)
18,FI028,The Wold,FI028,Upland plain,Rohan,Deserted,x,RH057,,The Wold,,,,,,,,,,,,,,,,,,,,,721234.2927,13741540959,,,,,,,,,,,,,,,,,,POINT (3784636.1663798536 2332986.377536541)
19,IS019,Tolfalas,IS019,,Gondor,Uninhabited,x,GD101,Almost destroyed during the Drowning of Númenor,,,,Tol Falas,,,,,,,,,,,,,,,,,,203923.8767,1798751183,,,,,,,,,,,,,,,,,,POINT (3690536.9685993823 1723520.375771772)
20,IS012,Tol Brandir,IS012,,Gondor,Uninhabited,x,GD100,"""no foot of man or beast had ever been set upon Tol Brandir""","""Isle of the great Steeples""",Tindrock (archaic Westron),,Tol Brandir,,,,,,,,,,,,,,,,,,10295.27225,7573870.262,,,,,,,,,,,,,,,,,,POINT (3896078.6556087555 2188904.86624811)
21,IS008,Girdley Island,IS008,,The Shire,Uninhabited?,x,SH021,,"Gridley Island; ""girdle-island""",,,,,,Gyrdlieg (Old Hobbitish),,,,,,,,,,,,,,,6907.522016,2126740.388,,,,,,,,,,,,,,,,,,POINT (3135558.945254664 2731320.752708199)
22,IS003,Carrock,IS003,,Rhovanion,Near the homes of Beorn and Radagast,x,,,,,,,,,,,,,,,,,,,,,,,,4049.688638,1184776.222,,,,,,,,,,,,,,,,,,POINT (3804559.951899634 2820751.783043822)
23,IS002,Cair Andros,IS002,,Gondor,Gondorians,x,GD008,,"""Ship of Long Foam""",,,Cair Andros,,,,,,,,,,,,,,,,,,34580.61942,59508900.12,,,,,,,,,,,,,,,,,,POINT (3978985.6319385935 2027386.6319592013)
24,LA002,Bywater Pool,LA002,Pond,The Shire,,x,SH014,,Bywater Pool,,,,,,,,,,,,,,,,,,,,,17399.25376,21533031.14,,,,,,,,,,,,,,,,,,POINT (3084239.550750395 2727782.513237444)
25,LA006,Lake Evendim,LA006,Lake,Abandoned,,x,,,Lake Evendim,,,"Nenuial (""Lake of Twilight"")",,,,,,,,,,,,,,,,,,176520.561,961411810.6,,,,,,,,,,,,,,,,,,POINT (3088205.851462879 2868326.8721797084)
26,LA009,Long Lake,LA009,Lake,Kingdom of Dale,,x,,,Long Lake,,,,,,,,,,,,,,,,,,,,,94930.52732,210131132.7,,,,,,,,,,,,,,,,,,POINT (4083225.825572451 2843445.9952077167)
27,LA012,Mirrormere,LA012,Lake,Khazad-dûm,,x,,,Mirrormere,,,"Nen Cenedril (""Lake Looking-glass"")","Kheled-zâram (""glass lake/pool"")",,,,,,,,,,,,,,,,,3529.013427,830010.8606,,,,,,,,,,,,,,,,,,POINT (3674613.020583512 2538184.090603031)
